Tweet,Target 1,Stance 1,set
"In the United States , pro-life groups favor greater legal restrictions on abortion , or even the complete prohibition of it .",abortion,AGAINST,train
"Seventy percent of U.S. abortions are performed on "" Christian "" women .",abortion,NONE,train
We want to be respected for the work we do as mothers .,abortion,NONE,train
"( It ’s also worth noting that many women can receive earlier term abortions after discovering their child has Down Syndrome , since early tests are available that can screen for it in the first trimester , so it is much less relevant to the late term abortion debate than most pro-lifers imply . )",abortion,FAVOR,train
"This undercuts even our weakest , least honest escape : to pretend that we do n't even know what an apple is , just so we have an excuse for pleading that we do n't know what an abortion is .",abortion,AGAINST,train
Though there have been no cases brought against doctors that would perform such an abortion in NI .,abortion,NONE,train
This concept is fundamental for women .,abortion,FAVOR,train
Jacob ’s heart sank as he watched her switch her vote from “ No ” to “ Yes – 20-week abortions should be legal . ”,abortion,NONE,train
“ Pro : Reclaiming Abortion Rights ” has two major originalities .,abortion,NONE,train
Some abortions happen because of societal pressures .,abortion,AGAINST,train
"Scientific facts are just too clear to deny , and it makes no legal sense to deny the legal principle , for if the law is not supposed to defend the right to life , what is it supposed to do ?",abortion,AGAINST,train
Her minions have all pleaded the 5th or been given immunity and had their incriminating computers destroyed by the FBI .,abortion,NONE,train
There 's no sensible argument for this -- it 's like we pulled numbers out of a hat or something .,abortion,NONE,train
"Only a small percentage of physicians perform abortions , yet most support legal abortion in the interest of good medical care .",abortion,FAVOR,train
"Further , women would once more be forced to break the law to receive medical care , and once more their dignity would be lost in the process .",abortion,FAVOR,train
"That is what society , bioethicists and the law have to come to terms with.When the law grants the same human rights as anyone else , to an embryo or foetus under international law then I for one will be opposed to abortion as the law stands , except in only the most extreme cases where one or both "" persons "" are in imminent danger of extreme health risk or death .",abortion,NONE,train
"However , some studies have found that the radiation from cell phones may increase the chance of developing cancer and other health problems .",abortion,NONE,train
"People do justify their views about abortion by arguing against the humanity of the unborn , so we still need to talk about that , but I do n’t think it ’s the driving force behind why most people are pro-choice .",abortion,NONE,train
"Ah , but that ’s the issue , is n’t it ?",abortion,NONE,train
"In Case 2 , where the fetus is a person and you do n't know that , abortion is manslaughter .",abortion,AGAINST,train
There is significant debate over when in pregnancy a fetus can feel pain .,abortion,NONE,train
"The procedural similarities between the D & E and D & X procedures have contributed to the concern that the language of partial-birth abortion bans may prohibit both methods of abortion . """,abortion,NONE,train
Warning : It is extremely graphic .,abortion,NONE,train
TRUMP : I 've evolved on many issues over the years .,abortion,NONE,train
"Sotomayor was not impressed , joking that while she is n't very good at math , that seemed like a small percentage to her .",abortion,NONE,train
I showed her fetal development pictures in the ERI brochure .,abortion,NONE,train
Would you help me understand where the line is for you and why ?,abortion,NONE,train
Traditional common sense and morality say all humans are persons and have rights .,abortion,AGAINST,train
"Therefore , we ca n’t say drunk drivers cause drunk driving fatalities .",abortion,NONE,train
Taxpayers should n’t have to pay for what they believe is immoral .,abortion,AGAINST,train
"We do not hesitate to suppress or disable "" normal "" processes for overall health .",abortion,NONE,train
Being pregnant can be very hard for some women and even lead to suicide for a woman with an unwanted pregnancy .,abortion,FAVOR,train
"For the first three categories , the report may indicate significant issues in lack of access : “ The overwhelming majority of second-trimester patients would have preferred to have had their abortion earlier , and our findings suggest that black women and those with less education would most benefit from increased access to early abortion services . ”",abortion,FAVOR,train
In line with a woman ’s right to life is also her right to mitigate the risk to her person .,abortion,FAVOR,train
"On the one hand , the various personhood amendments , making a fertilized egg equal to a woman , mostly failed ; on the other , representatives of the hard-line , forced-birth movement seemed to carry many a day and election .",abortion,NONE,train
"This uncertainty causes an enormous strain , huge social anxiety — what Karl Popper rightly called the strain of civilization .",abortion,NONE,train
"This has led , on the pro-life side , to a sometimes prevalent impression that abortions for fetal defects are never necessary , but rather an excuse for “ lazy ” women to get rid of children that do n’t meet their ideals .",abortion,AGAINST,train
But making abortion illegal ?,abortion,NONE,train
"Level of development : True , embryos and fetuses are less developed than the adults they ’ll one day become .",abortion,NONE,train
ABORTION IS BASICALLY MURDER !,abortion,AGAINST,train
Did the media dare to allow it to be shown ?,abortion,NONE,train
"And yet , these things are constantly present in the modern world as they have been historically , because they account for circumstances that validate an act that may be morally wrong .",abortion,NONE,train
"Rather , equality arguments are premised on the view that restrictions on abortion may be about both women and the unborn — both and .",abortion,NONE,train
Most think the abortion decision should be left to a woman and her doctor .,abortion,FAVOR,train
"There may be good reasons not to criminalize women who procure abortion , even if the action is morally equivalent to murder .",abortion,NONE,train
( I might add that it was the hospital that notified the press -- the diocese sent Sr .,abortion,NONE,train
"For an argument that “ equal citizenship stature ” is central to Justice Ginsburg ’s constitutional vision , see generally Neil S. Siegel , “ Equal Citizenship Stature ” : Justice Ginsburg ’s Constitutional Vision , 43 New Eng .",abortion,NONE,train
"But clearly , involuntary euthanasia is wrong ; clearly , there is a difference between imposing power on another and freely making a contract with another .",abortion,AGAINST,train
"Jesus calls us to a different place , distinct from the law but a fulfillment that is beyond the law .",abortion,NONE,train
A lot of people consider it an abortion clinic .,abortion,NONE,train
A foetus in the early stages of development lacks the developed nervous system and brain to feel pain or even be aware of their surroundings .,abortion,FAVOR,train
"I never got pregnant again . """,abortion,NONE,train
"However , the women now has to live with a feeling of abandoning their child for the rest of her life .",abortion,AGAINST,train
If you belive in god gods .,abortion,NONE,train
Last month ERI had our most recent outreach event at Aquinas College in Michigan .,abortion,NONE,train
"The Budget Control Act marks a positive step forward in getting government spending control , but much hard work remains .",abortion,NONE,train
They take an abstraction and make it concrete .,abortion,NONE,train
Most everyone can not deal with a fact like that .,abortion,NONE,train
"Instead of assigning arbitrary ages for the exercise of adult prerogatives , we should recognize people as adults when they assume responsibility for their lives .",abortion,NONE,train
"All of us who have or want kids imagine them growing up to be doctors , senators , sports stars , or whatever .",abortion,NONE,train
"Properly defined , feminism is a philosophy that embraces basic rights for all human beings without exception — without regard to race , religion , sex , size , age , location , disability or parentage .",abortion,NONE,train
"This vindictive , self-righteous attitude stems from a belief that sex is bad and must be punished .",abortion,FAVOR,train
Some critics pejoratively refer to certain of the Court ’s Due Process deci­sions as recognizing “ unenumerated ” constitutional rights .,abortion,NONE,train
This is probably a controversial point but it has to be said .,abortion,NONE,train
Only 46 percent said they favored making abortions more difficult .,abortion,FAVOR,train
What is an extremist argument ?,abortion,NONE,train
Confidence in our free market democracy has constituted our moral bond with the rest of the world .,abortion,NONE,train
"I have heard it argued that we do not treat any other species in the traditional way — that is , we do not assign equal rights to all mice .",abortion,NONE,train
Any court decisions related to abortion regularly bring protestors from both sides .,abortion,NONE,train
"This essay , adapted from the landmark speech “ The Feminist Case Against Abortion , ” is part of America ’s coverage of issues related to the Synod of Bishops on the Family .",abortion,NONE,train
You can not plead ignorance .,abortion,NONE,train
In 1994 all US states had obesity rates at 19 % or lower .,abortion,NONE,train
Looking back I believe that every hour of catechetical formation in my young life had been leading up to that life-changing decision .,abortion,NONE,train
"More poignantly , bearing a child while in poverty or while already overwhelmed by caregiving for other children , or perhaps while experiencing health risks , reeks of an injustice known to women alone .",abortion,FAVOR,train
"If you 're worried about discrimination , it is better to have a chance at a good life with the possibility of a bad life than having no chance at life at good life at all .",abortion,AGAINST,train
"Notice that this is not an argument , but an arbitrary assertion .",abortion,NONE,train
"Cystic Fibrosis and Huntington Disease fall into this category , and prenatal testing options are available for both .",abortion,NONE,train
May even affect the social life of a woman who succeeds in this procedure .,abortion,AGAINST,train
"The slogan , "" My Body , My Choice , "" betrays a tragic misunderstanding of what is taking place inside the womb .",abortion,AGAINST,train
"And of course , people have every right to hold any opinion they like .",abortion,NONE,train
Abortion is is not just taking out a “ fetus ” it is simply ending a human a life .,abortion,AGAINST,train
Opinion polls have shown ambivalent attitudes among many Poles .,abortion,NONE,train
Abortion foes completely missed Seuss ’s message.Even children recognize that human and person are two different concepts .,abortion,FAVOR,train
A University of Virginia student started a babysitting club .,abortion,NONE,train
"Unfortunately , and ironically , anti-abortion legislation in multiple states aimed at reducing access by closing abortion clinics with unnecessary restrictions or requiring extra hurdles for women to obtain abortions ( like mandatory delay , ultrasounds , and/or counseling ) , has a counterproductive effect .",abortion,FAVOR,train
"The loss of life is the greatest possible loss anyone can suffer because it deprives us of all the experiences and enjoyments that otherwise would have been part of our futures , which we now value or would have come to value .",abortion,AGAINST,train
"Equality arguments complement liberty arguments , and are likely to travel together .",abortion,NONE,train
"If they get abortions , then next they ’ll be asking for Cadillacs .",abortion,AGAINST,train
You do n’t get to choose the kind of votes you want .,abortion,NONE,train
"Mother Teresa argued , simply , "" If abortion is not wrong , nothing is wrong . """,abortion,AGAINST,train
"However , if that is the case , there are plenty of wonderful people out there who are .",abortion,NONE,train
"It would also only allow women to fertilise one egg at a time , thus considerably reducing the chances of a successful pregnancy .",abortion,NONE,train
"Equality arguments focus on “ a woman ’s autonomy to determine her life ’s course , and thus to enjoy equal citizenship stature . ”",abortion,FAVOR,train
"819 elementary and middle schools , 1,926 high schools , and 1,010 colleges and universities use our free nonpartisan research to stimulate critical thinking .",abortion,NONE,train
Forcing a woman to bear a rapist ’s child is further torture of the victim of a heinous crime .,abortion,FAVOR,train
Making contraceptives and abortion available only encourages them to have sex .,abortion,AGAINST,train
"The protests have won the approval of numerous Polish employers , including restaurant owners , museum and gallery directors , the deans of several universities and mayors of a couple of large cities , all of whom allowed their female workers to take a day off .",abortion,NONE,train
"It seems an effort to erase the notion of moms and dads -- as though to do so would be a boon to progress , as though society would finally be free of those old , deterministic categories of male and female .",abortion,NONE,train
This is another great example of a time to do that .,abortion,NONE,train
What is not tolerable is trying to impose irrational intuitions on people who do n’t just fail to accept them but who feel that the removal of women ’s freedom is itself a moral crime .,abortion,FAVOR,train
And you know who else has ?,abortion,NONE,train
She has the mental ability of a nine-month-old .,abortion,NONE,train
The morning starts with an arcane and technical debate that eats up most of Stephanie Toti ’s time .,abortion,NONE,train
1/17/2013 – Watch seven wonderful student films about ProCon.org .,abortion,NONE,train
"Or , if we grant that a fetus is a separate individual with future of value like ours , does it follow that women can choose to kill fetuses on the ground that they are trespassers ?",abortion,NONE,train
"And pro-lifers have answered , “ What about the baby ? ”",abortion,NONE,train
"When the percentage of respondents who call abortion critical , very important , or a deal-breaker rises toward 30 percent or more , the balance of power begins to shift .",abortion,NONE,train
"Birth control and abortion do n’t cause sex , but reality dictates that they be available to help prevent teens from becoming parents .",abortion,FAVOR,train
"Are all abortionists simply "" in it for the money "" ?",abortion,AGAINST,train
"6/14/2010 - ProCon.org has now been used by 1,267 schools in 31 countries and all 50 US states .",abortion,NONE,train
"Humans are humans not because they have feet , hands , walk vertically , and speak , etc .",abortion,AGAINST,train
"In writings from the beginnings of Christianity to the Reformation , Christians have stood uniformly against abortion , believing it to be an act of murder and deserving of God ’s judgment .",abortion,AGAINST,train
"If your life conceives suffering and unhappiness , to , most American at least that is considered a bad life .",abortion,FAVOR,train
"If some comments are clearly spam or otherwise abuse the comment system , please report them to Facebook . ]",abortion,NONE,train
"Proponents of this bill claim that it will prohibit only a single , ' late-term ' abortion procedure .",abortion,NONE,train
"As expected , the other justices gave no indication of supporting the clinics ' position .",abortion,NONE,train
Heâ € ™ s the author of Bearing Right .,abortion,NONE,train
Ginsburg begins by asking Keller how many Texas women live more than 100 miles from an abortion clinic .,abortion,NONE,train
Some single women do choose childbirth followed by adoption ; many more choose single parenthood .,abortion,NONE,train
But that 's what abortion is .,abortion,NONE,train
"The proposal can be simply to alter the child ’s physical dimensions and remove him or her , because , as a physical object , this body can not remain where it is without ending in both the baby ’s and the mother ’s deaths .",abortion,FAVOR,train
"Meanwhile , let ’s just have fun with it .",abortion,NONE,train
"The Warsaw mayor ’s office said 24,000 Poles took to the streets of the capital , waving black flags to draw international attention to the proposed restrictions .",abortion,NONE,train
" No , I feel terrible . ",abortion,NONE,train
Pro-life and pro-choice students came together at Wellesley College to hold a rummage sale benefitting a pregnant student who lost her financial aid for housing .,abortion,NONE,train
Is the use of federally mandated standardized tests improving education in America ?,abortion,NONE,train
The abortion fight is one of several controversies to have riven Poland since the PiS won a majority in last October ’s general election .,abortion,NONE,train
"We are thrilled that so many teachers , students and others are finding our free and unbiased content so useful .",abortion,NONE,train
"And I am very , very proud to say that I am pro-life .",abortion,NONE,train
"Mother Teresa said , "" But I feel that the greatest destroyer of peace today is abortion , because it is a war against the child , a direct killing of the innocent child , murder by the mother herself .",abortion,AGAINST,train
"In Case 1 , where the fetus is a person and you know that , abortion is murder .",abortion,AGAINST,train
"My colleague Jacob Nels shared this story with me of a conversation he had at our other recent outreach day in Michigan , this time at Grand Valley State University .",abortion,NONE,train
But lawsuits have been filed due to reckless actions undergone by pregnant women ( http://www.leagle.com/decision/1992422136NH286_1377.xml/BONTE%20v.%20BONTE ) - that was for a pregnant woman who was struck by a car while jaywalking .,abortion,NONE,train
I wanted my baby back .,abortion,NONE,train
"No right then why do it to a unborn baby that is on its way to find a journey in life , I understand if a girl got raped , she would not want to have the baby but understand taking a life away is not the best option , the gift of being a mother is the most beautiful gift we can have as a women , you go through the stages of pregnancy and if that mean time you do not feel ready you can give the baby to adoption , that is the best option and now in days girls are just getting pregnant , it is not an accident anymore , why allow them to have an abortion , they have the effort to have a sexual relation now they have to learn the effort of becoming a mother and learning the consequences of their acts .",abortion,AGAINST,train
"Lincoln may have entered politics with a passionate hatred of slavery , but once he was a politician his arguments were distilled from passion into reason and law , and sometimes even into legalism .",abortion,NONE,train
So let 's look at the fruits .,abortion,NONE,train
The truth : Yes it is murder !,abortion,AGAINST,train
"In fact , abortion prior to Roe v. Wade was outlawed without legally defining the unborn as persons .",abortion,FAVOR,train
The stories on this page highlight the remarkable turnarounds of four former abortion-insiders – including the physician most responsible for the legalization of abortion in America .,abortion,NONE,train
"To be clear , equality arguments do not suppose that restrictions on abor­tio­n are only about women .",abortion,NONE,train
IT 'S SOOO WRONG !,abortion,AGAINST,train
"One of the primary reasons I changed [ was ] a friend of mine 's wife was pregnant , and he did n't really want the baby .",abortion,NONE,train
"And if we accept that a mother can kill even her own child , how can we tell other people not to kill one another ?",abortion,AGAINST,train
"Pepperdine University created a task force to support pregnant women , adjusting policies to better suit student parents ’ needs and building family housing .",abortion,NONE,train
Ask the tough questions .,abortion,NONE,train
"If the fetus developed the sense of pain , than it is a shame .",abortion,AGAINST,train
The Dred Scott case is not analogous to Roe v. Wade .,abortion,NONE,train
"25 This reference to invidiousness by the Geduldig Court is best understood in the same way that Wendy Williams ’s brief in Geduldig used the term “ invidious ” — namely , as referring to traditional sex-role stereotypes .",abortion,NONE,train
"This assertion is not borne out by the literature : the vast majority of women tolerate abortion without psychiatric sequelae ” , a conclusion echoed in systematic reviews .",abortion,FAVOR,train
"After all , abortion implies denying someone a well-deserved life .",abortion,AGAINST,train
"Non-white women , however , have an abortion rate ( 56.8 per 1000 ) that is twice that of white women ( 24.3 per 1000 ) .",abortion,NONE,train
"This , I suspect , is a vast and major sea change .",abortion,NONE,train
Pregnant and parenting students had access to health services and user-friendly information on the school ’s website .,abortion,NONE,train
"The sincerity or consistency of their position might be questioned -- this is , in fact , what Trent is doing in regards to atheists -- but not the truth of that position ( i.e. , not the position itself . )",abortion,NONE,train
"The truth : The fact that it remains the mother 's choice to keep her baby , and most do , does nothing to justify the continued killing of innocent life in the womb .",abortion,AGAINST,train
Parents have the right to know if their child is having an abortion .,abortion,FAVOR,train
"He was concerned that this would decrease medical abortion in Texas and increase surgical abortion , which is the opposite of the nationwide trend and seemed , to him , less safe for women .",abortion,NONE,train
- Is human activity a substantial cause of global climate change ?,abortion,NONE,train
Fetuses aborted later in pregnancy and born alive are left to die or are killed by doctors .,abortion,AGAINST,train
"If you abort a defective fetus , you ca n’t respect or value people with disabilities .",abortion,AGAINST,train
"Taking it to an extreme , Jane decides to pluck her fetus ’ eyes out .",abortion,NONE,train
Sign up for the daily newsletter.Sign up for the daily newsletter : the best of The New Yorker every day .,abortion,NONE,train
The reproductive rights movement has no genocide component — no one is out to kill all embryos .,abortion,FAVOR,train
"If a woman had had an abortion in her teenage years , then the risk was 100 % higher .",abortion,AGAINST,train
"Foster homes have horrible reputations and its not as often as people like to think that kids are adopted into families and live happily ever after , bringing a unwanted child into the over populated world as it is puts that child at risk for a life of pure struggle , babies should be welcomed into the world with their mother who sees them as a miracle and can provide for their child and put it through school and raise it into a life everyone deserves a chance at .",abortion,FAVOR,train
"The unlawful taking of a human life is murder and since "" reason "" number 2 agrees that life begins at conception , this is a pro life argument against abortion .",abortion,AGAINST,train
"It 's just not just , not fair .",abortion,NONE,train
"When abortion restrictions reflect or enforce traditional sex-role stereotypes , equality arguments insist that such restrictions are suspect and may violate the U.S. Constitution .",abortion,FAVOR,train
"Abortions rose steadily during the tenure of the first "" pro-life "" Republican President , Ronald Reagan .",abortion,NONE,train
So what is the evidence on some of the main claims around abortion ?,abortion,NONE,train
"’” ( LifeNews ) “ These babies , and we all KNOW these are babies , have committed no crimes , yet you and yours sentence them to a horrible , painful death . ”",abortion,AGAINST,train
"- Over the 20th century the earth warmed 1-1 .4 ° F and climate changes including more intense heat waves , stronger hurricanes , loss of sea ice , glacier retreat , and more droughts have occurred .",abortion,NONE,train
"According to this highly permissive wide-ranging standard , allowing the ' brutal , barbaric and uncivilized ' procedure of partial-ban abortion characterizes how this nation , under our rule of law , describes itself as civilized .",abortion,NONE,train
"Roberts asked a few questions about whether the state had a rational basis for the law , and then the liberal justices took over the argument — and they may just have brought Kennedy along for the ride .",abortion,NONE,train
That is a problem and it was quite evident when we were confronted with the “ partial birth abortion ” mess .,abortion,AGAINST,train
We ’re not going to let that happen .,abortion,NONE,train
"Most women affected by these laws still have abortions , but many seek them later due to their difficulty accessing services .",abortion,FAVOR,train
"Elections matter , but there is something deeper at stake here .",abortion,NONE,train
Should prescription drugs be advertised directly to consumers ?,abortion,NONE,train
Abortion is n't the only option .,abortion,AGAINST,train
"But 40 years after Roe , most of us still do n’t think that ruling should be overturned .",abortion,FAVOR,train
And they have to stop .,abortion,AGAINST,train
"The 150 pro , con , and general reference statements focus around the core question : Should felons be allowed to vote ?",abortion,NONE,train
"These are differences of degree , not differences of kind .",abortion,NONE,train
Notice how vacuous the pro-choice rhetoric is if they have exceptions .,abortion,AGAINST,train
More US state abortion restrictions were enacted between 2011 and 2013 ( 205 in total ) than were adopted during the whole previous decade ( 189 ) .,abortion,NONE,train
Prostaglandin suppositories would ‘ start ’ an abortion that would appear to be a miscarriage . ”,abortion,NONE,train
"If your worried about them feeling rejected , they may feel sad that you did n't want them , but it is likely that they will feel some gratitude that you let them live .",abortion,AGAINST,train
"Do all we can , personally and as a community and society , to help her have the freedom , the room , the time , the wherewithal to choose life .",abortion,NONE,train
"I hope I have given reason to convince you that this is not a simple matter , that authorities disagree , and that even if you have a firm conviction yourself that it is clearcut what is an indirect abortion and what is not , there are authorities who would disagree with you .",abortion,NONE,train
"At early stages of pregnancy , miscarriages and abortions have indistinguishable symptoms .",abortion,FAVOR,train
Some people argue that rising levels of human-produced greenhouse gases are warming the planet and causing the climate to change .,abortion,NONE,train
And millions of women have paid the price .,abortion,NONE,train
What if the baby would be born into an unstable family ?,abortion,FAVOR,train
"As of May 2011 , the average number of prescriptions for new drugs with DTC advertising is nine times greater than prescriptions for new drugs without DTC ads .",abortion,NONE,train
In 2013 the United States was the second most obese industrialized nation with 31.8 % of Americans falling into the obese category .,abortion,NONE,train
Many pro-choice people attempt ( unsuccessfully ) to paint pro-life claims that unborn babies have a right to live as extremist .,abortion,AGAINST,train
The hypothesis that women who undergo an abortion have worse mental health outcomes than those that do n’t is at heart a scientific claim and can be tested as such .,abortion,AGAINST,train
"Her analysis , sent to the bishop in October , was rejected by Olmsted last month .",abortion,NONE,train
There should be a national referendum on abortion so the people can decide if they want it .,abortion,NONE,train
This would lead to so many negative consequences .,abortion,NONE,train
It is this : We know what an apple is .,abortion,NONE,train
The number of couples out there who can not have a child of their own for physical reasons are too numerous to count .,abortion,NONE,train
"Other than stressing that the state had a rational basis for the law , Roberts asked only one non-consequential question on the merits .",abortion,NONE,train
"Among his Senate colleagues , Kaine ’s personal views on abortion are seen as a nonfactor .",abortion,NONE,train
It is ridiculous that an infant could be treated like a human being in one location ( the incubator ) and like disposable property in another ( the uterus ) .,abortion,AGAINST,train
I marched in Right to Life events when I was young !,abortion,NONE,train
"All conservatives should find it easy to agree that government must uphold every person ’s right to make choices regarding their lives and that every person ’s right to live must be secured before he or she can exercise that right of choice . """,abortion,FAVOR,train
The implication is that the accused commenter is deliberately trying to throw the discussion off track .,abortion,NONE,train
Now it ’s over to Breyer : “ There are two laws .,abortion,NONE,train
"13 Here , as elsewhere in Casey , the Court is interpreting the Due Process Clause and draw­ing on equality values in order to make sense of the substance of the right .",abortion,NONE,train
This legislation protects each state ’s right to protect marriage .,abortion,NONE,train
"While the immediate debt ceiling issue has been responsibly resolved , a spending-driven debt crisis remains a threat .",abortion,NONE,train
"There is a possibility that her own life might be at risk , if she delivers the child .",abortion,FAVOR,train
"Compelling data for sure , but Presidents often have to deal with Congress and the Supreme Court … which is why President George W. Bush 's tenure is so informative .",abortion,NONE,train
"They may not want to face the wrath of their parents , the embarrassment at school , or the lifetime responsibility of motherhood .",abortion,FAVOR,train
"A doctor prescribes two pills , and the women take the pills at home , correct ? ”",abortion,NONE,train
"If you are afraid that your child will have birth defects or Down syndrome , then DONT HAVE CHILDREN or you can put then for adoption !",abortion,AGAINST,train
"There was something wonderful and symbolic about Roberts losing almost complete control over the court ’s indignant women , who are just not inclined to play nice anymore .",abortion,NONE,train
"I will try to persuade you that if we know what an apple is , Roe v. Wade must be overthrown , and that if you want to defend Roe , you will probably want to deny that we know what an apple is .",abortion,NONE,train
"In this way , the article is good .",abortion,NONE,train
"And likewise a Levite , when he was at the place , came and looked on him , and passed by on the other side .",abortion,NONE,train
"Image copyright @MadameClaudine1 Image caption ' If we agree that a mother can even kill her own child , how can we tell other people that they should n't kill each other ? '",abortion,AGAINST,train
"Their unbiased and truthful presentation makes a tremendous contribution to the political system . """,abortion,NONE,train
"ProCon.org has no control over the content of these comments , and we therefore take no responsibility for them .",abortion,NONE,train
The Equal Protection Clause is a widely ven­erated constitutional text to which Americans across the political spectrum have long laid claim .,abortion,NONE,train
"9 Concerns about demeaning , disrespecting , and stigmatizing gay people pervade the Court ’s interpretation of the Due Process Clause in Lawrence .",abortion,NONE,train
"For me and my husband , who see it this way , it would have violated our moral values to carry forward a fetus infested with parasites , as in our first pregnancy , or one with knowable genetic defects , which we ruled out in the second .",abortion,FAVOR,train
"Whether or not you think abortion should be allowed , it can not be disputed that a doctor is harming a living organism .",abortion,AGAINST,train
"“ My Body , My Choice ” – Women have the right to choose what to do with their body .",abortion,FAVOR,train
"As best I know , a child can sue its mother for harm caused by the behavior of the mother during pregnancy , but ( also as best I know ) a woman can not be held criminally responsible for negligent behavior during pregnancy .",abortion,NONE,train
"Read More Many at the event in Warsaw dressed in black , as part of the Black Protest movement , which has been trending on social media in recent weeks .",abortion,NONE,train
