Tweet,Target 1,Stance 1,Opinion Towards,Sentiment,Tweet Id
"@ananavarro @nanelvisfan This pandemic, like any crisis, seems to squeeze the best and the worst of us out of the shadows. And he probably preaches about What Would Jesus Do. I’ll bet he’d wear a f**king mask.#COVIDIOTS",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Can y’all wear masks so we can freely drink our coffees while shopping around without a mask around our faces?!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"People who like to sew: a fat quarter of fabric is the perfect size to make two pleated masks :) cut it in half then in half again and double up two squares to make one mask. Make pleats By making 3-4 folds, sew the edges, and add ties. Done. #normalisemaskwearing ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28E+18
I wonder what the coronation is to folks who buy lottery and don’t wear masks? #WearADamnMask,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@DrNickCrombie Dr Nick, I agree it’s brilliant...but I’m disappointed that so many comments here show that either people lack a sense of humour!  and/or don’t get how essential both vaccinations and mask wearing are for our survival! Shocking! :joy::face_with_symbols_on_mouth:

#WearADamnMask 
#MasksSaveLives",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
Is there still a pandemic or not? Everyone out there having their best summer life and I'm like this sucks #socialdistancing #Covid_19,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
Is it lost on anyone that the exact same people who bitch and moan and refuse to where a mask to save another human life are the EXACT SAME people who doggedly defend the 2nd amendment after 50 people get shot dead by an AK-47? #therightiswrong #COVIDー19,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"A guy with no mask just knocked on my door. I have big loud dogs, he backed away. I stuck my head out and he yelled across the yard. He's selling frozen beef. Holy hell, he came to my door with no mask.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Y’all, wearing a mask is great. I can mouth the words to the weird song I have in my head and no one looks at me funny.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"It's ironic that some people refuse to wear a mask because they say it takes away their freedom, but when you do wear a mask, you have the freedom to go about anywhere &amp; in any store you want to. 
Please #WearAMask so we can beat this, then none of us will have to",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"Over 155,000 Americans have succumbed to Covid-19 and too many more will.

Your right to not wear a mask is disrespectful to all front line workers and your fellow citizens. 

Your right to not wear a mask contributes to our country’s horrific toll.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"— frickin’ idea what they’re talking about and how people like her are part of the problem. Sure, masks aren’t the cure for #COVID19 . But it certainly helps in being a preventative from the spread of the virus. So, again, #WearAMaskPlease.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
"A to Z #NoMasks 
Reason you r a Non-masker
You are:
Arrogant 
Brainless
Careless with others 
Dumb
Egotistical 
Fox News Watcher
Germ gigolo
Hypocrite 
Ill-informed￼
Jerk
KKK sympathizer 
Lame 
Manic
Narcissist￼
Oppressor 
#Covid_19 #DrFauci #coronavirus #MaskUp ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@Gay_Alcorn @BarnsGreg Why are you asking stupid questions? Give people an inch they take a mile #StayHomeSaveLives,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
"@CheyenneNDN @Glowysoe @RobynFlowers18 @OGKBEAR @Dadilicious2 @KingRezizt @WeinreichHolly @realCheeto1 @NicoleNunn20 @ccsllew @AmateurMmo @Pittsburgbitch @leahbake @Duke_of_Phale @Burgh_bitch @cookiem89151957 @TroianoNic @JTSand138138 @TrumpBear4 @comeundone0 @AndyPadrutt @BResisting @JoeBiden @MeidasTouch @Eiggam5955 @brianlewis3282 @waltsimsjr @onit1977 @jenjones207 @BigPixieKiss @Flyin_Nrs @Peatches66 @Boomer818 @Jeff_resist @babaloo2 @TruthfulReal1ty @BradyBoo75 @AngBonCan @Wikweko @Brentp56 @WilliamFPeters2 @BackNBlack1975 @CapAmerica1111 @BogdanoffElaine @TCRG2012 @YetiEye @100Mohawk @BrahmaGreg @Rob83753057 @RandomFSM I don't get the fight against facemasks. Ppl have worn clothes, shoes, hats, etc for years. Ppl wear seatbelts &amp; helmets. Athletes wear padding. Men wear condoms. No one ranted that rights were being violated when all of that stuff became a thing.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Just worked the front end of a central Iowa grocery store. Counted 508 people. 68 had on masks.. #iowa #COVIDIDIOTS #grocery,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
I guess I should’ve know any effort to flatten the curve that depended on an overwhelming majority of Americans to refrain from being self-centered was doomed to fail.,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28E+18
"Because a lot of people STILL refuse to wear masks, and stay physically distant from others, I'm gearing up for some GREAT holidays, such as:

Hallowzoom
Zoomsgiving
Christzoom
Zoom Year's Eve
Zoomukkah
Kwanzoom",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@mickjason @PeteFestersen When the TSA started making us remove our shoes, practically strip &amp; let them see details of our bodies in X-ray-like machines just to get on a plane, did you stop flying? If not, why are you OK with that but wearing a mask makes you a #crybaby? #WearADamnMask",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@NPR Is that Tucker Carlson?  #COVIDIOTS,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
@PrawnDave @ImmoralReport There’s someone LONG overdue for an ass whoopin’. #covidiot #Covidiocy,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
Day 1292 with a contagious haiku: Endless quarantine. America is broken. Wear your fucking mask.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@jimdonovancbs3 @SEPTA No need to be patient. Not wearing a mask in public (as mandated by PA Governor) is the equivalent of swinging around a gun with the safety off; somebody’s going to get hurt. That said, I see Philadelphia P/O watch people walk around w/o masks and they say nada!",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@Politidope @JoeGruters No mask? Careless, self-centered no concern for anyone else’s health. Don’t be like Joe",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Friends, I just want to go to restaurants and attend music events again... but I can't... because I have a fucking brain, and I know you idiots are out there without masks, coughing on everyone else. #stayhome",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Shut out to the gas station workers who even though the front door says mask mandatory weren’t wearing one but compliments my #AgentCarter mask!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
It just occurred to me that since we will still be wearing face masks in the winter my nose will actually be warm.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"I put a face mask over the air intake of my car to be safe and my car broke down. Who knew that limiting the air intake is bad for your car. It’s ok for the human body though isn’t it uncle @DanielAndrewsMP ?
#resignDanielAndrews #endthelockdown",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@OurRevolution An wear masks!!!!!!!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
@RousseauRick She probably had too many non mask wearing assholes to deal with..lol. I feel bad the employees are left to enforce the masks. These stores need security to deal with the Covididiots :angry::angry::angry::angry:,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@realDonaldTrump And so many without masks!  Wtf, people?",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@NeilClark66 @freddie801 Neil, stop being a snowflake and wear a mask. It won’t be forever, and it will help the most vulnerable to be protected against covid19. I wear one every day at work, it’s no big deal.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
@BethanAngharadL @ks_1968 All the more recent evidence points to their effectiveness but you're quite right the precautionary principle demanded they be used.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28E+18
"@wheredoustand1 @Ms_Deville @lightfal @itsJeffTiedrich @realDonaldTrump Welp considering the it’s the States who are being travel banned right now and more people have died then in wars, maybe it’s not a hoax?

Ps had Trump taken Covid seriously, economy probably wouln’t have crashed like it did

#consequences ",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28E+18
"More good news: 75% of healthy 45-53 yr old patients that recovered from Covid have permanent structural damage to their hearts = to a heart attack. 
But masks are hot.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@AsburyParkPress Murphy needs to shut down the restaurants. None of the employees are keeping their faces covered. So unsanitary. #WearAMask,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Refusing to wear a mask radiates small dick energy.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
Being the only one in Ace Hardware wearing a mask feels very similar to when they'd assign group projects in school.  Except then I could at least do all the work myself.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
@APCentralRegion @AP What a #COVIDIOT. #MaskUpMichigan #maskup,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Masks set the precedent for vaccines. #COVID19,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"Starting today, people in Marion and Polk counties will be required to wear a face mask when they are in public, indoor spaces. This mandate comes in an attempt to prevent the spread of #COVID19. #Coronavirus #oregon #salemoregon #OR #SalemOR #clypiancoverage ",face masks,FAVOR,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other,1.28E+18
Tomorrow #NH will host a #NASCAR race that is expected to draw 12K.  We are the only state in the entire Norteast w/out a mask mandate. This is a potential #COVID19 superspreader event. You may be “over” the pandemic - but it’s not over you.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
On the bus. Out of the 6 people on the lower deck only 2 have their masks on properly 3 have their mouths covered but their nose poking out and one has it round their neck. Just what is the point? It’s really not that hard,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
RT if you have at least one mask hanging from the rear view  mirror of ya car :mask: #MasksOnOhio,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@SpeakerVos Masks in public places are a necessary prevention tool.
You DON'T need to have symptoms to be infected. Many people get Covid and never experience symptoms- They're known as silent Carriers, who are indeed, Spreading the virus.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
"@JoeBiden What happens when we win the election and President Biden enacts a national mask mandate?

""Karens"" will be coming out of the woodwork and it aint gonna be pretty. 

How can we make this happen NOW? 

#YesWeCanAgain #Biden2020Landslide",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
@mrswhite321 @Rachael1418 @GovMikeDeWine It isn’t. Mask or ventilator. Make your choice.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
The realization of how many think we're nvincible to #COVID19 was never more apparent until we saw people actually walk into the funeral home with no mask defying our state order. You're literally standing with the dead all around you and you still don't get it.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
People on India have to started to take this situation as a joke. People are no longer wearing masks and are roaming free. It's very disappointing.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"We've also added an event in Philadelphia and a real dumb anti-mask rally in MN.

I'm still working up a tik tok joke, but I'm only on my first cup of coffee.  Keep an eye on this thread.

#BlackLivesMatter",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"T1 Buses in Aberaeron will not let you on the bus unless you are wearing a mask - exempt included!

This has buggered people up who I know are exempt ... 

#MaskUp",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
@TheAltarOfAndy @JudgeJeanine That’s OK don’t wear a Mask go be THAT person but when you get sick don’t come crying as they intibate you,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@BelTel Oh fuck off. Jaysus what's more offensive a mask or the way sick and disabled people are treated by the tories through pip assessments? But Boris cares sooo much about the people, I right. Fuckin do one",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@realDonaldTrump 25% OF WORLD DEATHS EVEN THOUGH WE ARE 4% OF WORLD POPULATION!!!! @WhiteHouse @PressSec @kayleighmcenany SPIN THAT, KAYLEIGH!! And DR. BIRX!! #GOPDeathCult #BloodOnTrumpsHands",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
I have an idea. Everyone has their temperature taken at the entrance of the bar. Everyone not wearing a mask gets it taken rectally.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"Hey Team KC, y’all better put those Team Kelly masks up for sale!!! :raising_hands_light_skin_tone::thumbs_up_light_skin_tone:",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@Walmart start protecting your employees and customers and start regulating and mandating masks. I probably have it already as well as 8 other associates in my neighborhood market. 
Please at least pretend you care. 
They actually help. ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"It may not be a representative sample, but it was still really gratifying seeing nearly everyone at the @MortonArboretum wearing masks yesterday on the paths.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"I'm not condoning violence, but why are all the stories about people catching a beating over masks about people who actually comply? You would think the non-mask wearers would be the ones on the run.:thinking_face:
#MaskItOrCasket",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@wiscontext @WashCoWisco @PBSWI @WashCoExec Over 148,000 Americans :flag_for_United_States: have died. We are not showing them any respect or learning from the senseless deaths that could be avoided by wearing a mask. Obviously Washington County and other counties are failing as  #COVID19 # 's keep:arrow_up::arrow_up:",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@steeletalk @richardzussman @masks4canada @CKNW Thank goodness! She needs to be shown the light because clearly she refuses to believe in mask use. It makes zero sense.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Get use to being uncomfortable, so ADAPT to NEW NORMAL! WEAR THE MASK! ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28E+18
"Oh, I can’t tonight. I washing my masks. #SocialDistancing",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
@StopandShop Hey there..“No Mask No Service” is not being enforced in your Hempstead trpk and Wantaugh ave location. Have to stare down folks with a chinstraps every turn I make. I care about my senior mother that I take food shopping! This is pitiful! #StopAndShop,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"The only constitutional right your mask is violating is your right to get sick and die.

Wear a mask you fucking ape.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@nuts2406 @JayaTigerLily @VJ79654309 @Srinivas_Kamath @JayaTigerLily is just ad nauseum repeating her diatribe. One where she offers no science, no logic, no evidence that is abreast with understanding and advisories issued by health authorities. She is sabotaging efforts to create awareness here on Masks!",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@mikemcmannmd @AllieGatorFL @Tips89_ @GovRonDeSantis @BrowardHealth You understand that he literally altered scientific data to help @realDonaldTrump right!?  And he won’t issue a mask mandate,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Nothing like getting b*tched at by a Karen to ruin your afternoon. And of course, she was about a foot away from me and not wearing a mask. :face_with_rolling_eyes: Perfect.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@SenJeffMerkley @realDonaldTrump Dear Senator, thank you for all you do to represent Oregon. Hair clippers are fairly inexpensive and easy to use. Or next time you’re in the valley, I’ll even trim your hair, mask and all. And as an educator I have practiced social distancing all summer.  :scissors_selector: :man_getting_haircut_selector:",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1.29E+18
"Just got word that my coworker tested positive for covid-19. He was anti mask and went to parties without any care for the people around him. Now because of him I'm scared for my life.

Please for the love of god, #WearAMask",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@DeanObeidallah @TheDeansreport @CNNOpinion Imagine being such a selfish asshole that you place your desire not to wear a mask as more important than a human life.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@PollyAndry @AnaCabrera What, are they children??? Grow up ppl &amp; wear the damn mask! This is not about politics, not about Liberty and not about YOU.

It is about 150K FELLOW AMERICANS who have NEEDLESSLY DIED bc of ignorant &amp; selfish choices made by others.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
I tested positive for Covid. Got it from a friend. I assumed she was being responsible for my safety when she asked to meet for lunch. Found out she was infected by an online date. She didn't know him. She didn't wear a mask. Or distance. I then exposed my parents.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@RightWingWatch I wonder what his take would be on “No Shirt, No Shoes, No Service” #Masks",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"ANYBODY WHO SAYS MASK ARENT EFEECTIVE DONT GOT NOTHING TO WORRY ABOUT, THEY’RE ALREADY SICK.... MENTALLY #WearAMask",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@RileyKays @GiroSammy @HeatherBadenoch @nytimes @FuzzyWuzzyTO It’s incorrect but it if makes you feel better it’s simple: stay home as much as possible, wear a fabric mask when you do have to go out and get some surgical masks if you need to be out for extended periods of time. 
You’re welcome",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
"A face mask in not impeding your everyday life. I just went into a sandwich shop and a sausage bap, wearing a face covering. It's so simple...",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
It doesn't feel safe to ride with the @MBTA because they aren't enforcing their mask policy on all their trains,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Wear a mask please.

#WearAMask",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@realDonaldTrump They just closed my towns city hall indefinitely because an employee tested positive.  Adults can't figure out masks and social distancing.  But sure lets cram kids into buses and classrooms.
#TrumpVirus2020",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Does it do any good to put a sign on a door if you don’t enforce it.  I went into the @PilotFlyingJ in Flatwoods, WV &amp; only 1 out of 5 customers had a mask on.  It’s hard to enforce though when the manager hangs her mask under her chin.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
People in India are no longer serious about this situation. There are cases increasing everyday and people are getting careless. I am disappointed. So if not for your wear a mask for others.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@Starbucks I went to Starbucks at 2961 Michelson Dr, Irvine, CA 92612 at 1:30 pm today. Cashier and the girl at order pick up counter were not wearing face mask. This seems not implementing California order. #Starbucks ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@HomelessnessSD @victv This is ridiculous. I’m all for religion, just safe from my couch. As a San Diego women who got covid from a restaurant in Carlsbad. (Negative now). Wear a damn mask people, I almost died from this crap!",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@realDonaldTrump If YOU STUPID:face_with_symbols_on_mouth::face_with_symbols_on_mouth::face_with_symbols_on_mouth:#MAGA MORONS had worn masks since March like the rest of us did, the #COVID19 virus would no longer be spreading EXPONENTIALLY (look it up) and our schools COULD REOPEN and economy would be well into recovery - like the REST of the WORLD!:triumph::triumph::triumph::triumph:",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@hillarywillbern @Adrieliam @SMSCats2 @BillyCorben @TedToddAgency @CharleyTodd Yes... exactly... ""harass cake eaters and bakeries"" if that's your bliss. Really! But please do it without shouting. Follow the law, follow local regs, respect store policies, and puleeezzz wear a mask. :grin:",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
There's many reasons someone may not wear a mask. The only one that should concern anyone is that it's none of your business. Protect yourself. #COVID__19 #MaskUp,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.28E+18
"I work 10 hours in a 96 degree wearhouse walking 20,000+ steps a day and lifting heavy boxes and I wear a mask. STOP COMPLAINING YOU CANT BREATH WELL ENOUGH TO WALK 30 MiN WITH A MASK. ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"In March our amazing backyard neighbor died from COVID-19. Today I’m watching people (thankfully wearing masks) go through all his stuff as part of an estate sale. It’s all so sad. If we had shut down earlier, he would likely still be here.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Spending the afternoon watching a 3-on-3 youth soccer tournament at @etownsportspark. Beautiful day...but a shame there’s no signage or enforcement of mask wearing. Come on...we can do better! @KYHealthAlerts,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
"My mask doesn't stop... um, let's say 'Herefordshire scents' but it does keep my mouth dry from rain.

In other words, oxygen can get through masks, but droplets containing the virus cannot.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
13 hrs with a face mask today. Non-stop! If I hear someone complaining ...,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
Twitter folk are uber sensitive today! #MaskUp,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
